"","participant","condition","block","trial","stimulus","stimulus_type","choice","rt","correct"
"90","P1","2-back",3,30,"G","non-target","non-target",1654,TRUE
"91","P1","3-back",1,1,"N","burn-in",,,
"92","P1","3-back",1,2,"W","burn-in",,,
"93","P1","3-back",1,3,"Y","burn-in",,,
"94","P1","3-back",1,4,"C","non-target","non-target",1229,TRUE
"95","P1","3-back",1,5,"W","target","non-target",1693,FALSE
"96","P1","3-back",1,6,"Y","target","non-target",1765,FALSE
"97","P1","3-back",1,7,"F","non-target","non-target",2813,TRUE
"98","P1","3-back",1,8,"J","non-target","non-target",3140,TRUE
"99","P1","3-back",1,9,"D","non-target","non-target",2980,TRUE
"100","P1","3-back",1,10,"F","target","target",2716,TRUE
"101","P1","3-back",1,11,"J","target","target",2588,TRUE
"102","P1","3-back",1,12,"R","non-target","non-target",2444,TRUE
"103","P1","3-back",1,13,"V","non-target","non-target",2188,TRUE
"104","P1","3-back",1,14,"J","target","non-target",2636,FALSE
"105","P1","3-back",1,15,"R","target","target",1196,TRUE
"106","P1","3-back",1,16,"L","non-target","non-target",2764,TRUE
"107","P1","3-back",1,17,"J","target","target",1604,TRUE
"108","P1","3-back",1,18,"S","non-target","non-target",3372,TRUE
"109","P1","3-back",1,19,"L","target","non-target",1908,FALSE
"110","P1","3-back",1,20,"P","non-target","non-target",2300,TRUE
"111","P1","3-back",1,21,"T","non-target","non-target",1580,TRUE
"112","P1","3-back",1,22,"Q","non-target","non-target",1524,TRUE
"113","P1","3-back",1,23,"T","non-target","target",1668,FALSE
"114","P1","3-back",1,24,"T","target","target",1092,TRUE
"115","P1","3-back",1,25,"M","non-target","non-target",764,TRUE
"116","P1","3-back",1,26,"T","target","target",1388,TRUE
"117","P1","3-back",1,27,"V","non-target","non-target",2356,TRUE
"118","P1","3-back",1,28,"N","non-target","non-target",1012,TRUE
"119","P1","3-back",1,29,"Y","non-target","non-target",1572,TRUE
"120","P1","3-back",1,30,"H","non-target","target",1700,FALSE
"121","P1","3-back",2,1,"R","burn-in",,,
"122","P1","3-back",2,2,"P","burn-in",,,
"123","P1","3-back",2,3,"Q","burn-in",,,
"124","P1","3-back",2,4,"R","target","target",1089,TRUE
"125","P1","3-back",2,5,"P","target","target",1081,TRUE
"126","P1","3-back",2,6,"B","non-target","non-target",849,TRUE
"127","P1","3-back",2,7,"C","non-target","non-target",2185,TRUE
"128","P1","3-back",2,8,"P","target","target",961,TRUE
"129","P1","3-back",2,9,"F","non-target","non-target",2137,TRUE
"130","P1","3-back",2,10,"G","non-target","non-target",1801,TRUE
"131","P1","3-back",2,11,"P","target","target",673,TRUE
"132","P1","3-back",2,12,"F","target","target",961,TRUE
"133","P1","3-back",2,13,"G","target","target",1985,TRUE
"134","P1","3-back",2,14,"P","target","target",1433,TRUE
"135","P1","3-back",2,15,"D","non-target","non-target",1513,TRUE
"136","P1","3-back",2,16,"K","non-target","non-target",1537,TRUE
"137","P1","3-back",2,17,"L","non-target","non-target",1529,TRUE
"138","P1","3-back",2,18,"S","non-target","non-target",2065,TRUE
"139","P1","3-back",2,19,"K","target","target",625,TRUE
"140","P1","3-back",2,20,"W","non-target","non-target",2785,TRUE
"141","P1","3-back",2,21,"J","non-target","non-target",1361,TRUE
"142","P1","3-back",2,22,"K","target","non-target",2233,FALSE
"143","P1","3-back",2,23,"Z","non-target","non-target",2153,TRUE
"144","P1","3-back",2,24,"C","non-target","non-target",2488,TRUE
"145","P1","3-back",2,25,"K","target","non-target",2272,FALSE
"146","P1","3-back",2,26,"Y","non-target","non-target",2088,TRUE
"147","P1","3-back",2,27,"K","non-target","target",968,FALSE
"148","P1","3-back",2,28,"D","non-target","non-target",2440,TRUE
"149","P1","3-back",2,29,"V","non-target","non-target",1728,TRUE
"150","P1","3-back",2,30,"M","non-target","non-target",1824,TRUE
"151","P1","3-back",3,1,"P","burn-in",,,
"152","P1","3-back",3,2,"L","burn-in",,,
"153","P1","3-back",3,3,"J","burn-in",,,
"154","P1","3-back",3,4,"P","target","target",469,TRUE
"155","P1","3-back",3,5,"L","target","target",1301,TRUE
"156","P1","3-back",3,6,"T","non-target","non-target",1525,TRUE
"157","P1","3-back",3,7,"R","non-target","non-target",2189,TRUE
"158","P1","3-back",3,8,"L","target","non-target",1381,FALSE
"159","P1","3-back",3,9,"B","non-target","non-target",1845,TRUE
"160","P1","3-back",3,10,"R","target","non-target",1581,FALSE
"161","P1","3-back",3,11,"G","non-target","non-target",2349,TRUE
"162","P1","3-back",3,12,"S","non-target","non-target",2277,TRUE
"163","P1","3-back",3,13,"Q","non-target","non-target",2021,TRUE
"164","P1","3-back",3,14,"W","non-target","non-target",2117,TRUE
"165","P1","3-back",3,15,"H","non-target","non-target",3134,TRUE
"166","P1","3-back",3,16,"F","non-target","non-target",1941,TRUE
"167","P1","3-back",3,17,"W","target","target",1094,TRUE
"168","P1","3-back",3,18,"Z","non-target","non-target",1549,TRUE
"169","P1","3-back",3,19,"N","non-target","non-target",2093,TRUE
"170","P1","3-back",3,20,"M","non-target","non-target",1108,TRUE
"171","P1","3-back",3,21,"G","non-target","non-target",1500,TRUE
"172","P1","3-back",3,22,"R","non-target","non-target",1838,TRUE
"173","P1","3-back",3,23,"M","target","target",615,TRUE
"174","P1","3-back",3,24,"V","non-target","non-target",1157,TRUE
"175","P1","3-back",3,25,"N","non-target","non-target",2247,TRUE
"176","P1","3-back",3,26,"M","target","target",3140,TRUE
"177","P1","3-back",3,27,"V","target","non-target",2340,FALSE
"178","P1","3-back",3,28,"N","target","non-target",2020,FALSE
"179","P1","3-back",3,29,"H","non-target","non-target",1181,TRUE
"180","P1","3-back",3,30,"V","target","target",1868,TRUE
"181","P10","2-back",1,1,"Q","burn-in","non-target",554,TRUE
"182","P10","2-back",1,2,"H","burn-in","non-target",306,TRUE
"183","P10","2-back",1,3,"S","burn-in","non-target",425,TRUE
"184","P10","2-back",1,4,"T","non-target","non-target",409,TRUE
"185","P10","2-back",1,5,"B","non-target","non-target",425,TRUE
"186","P10","2-back",1,6,"T","target","target",377,TRUE
"187","P10","2-back",1,7,"J","non-target","non-target",385,TRUE
"188","P10","2-back",1,8,"L","non-target","non-target",633,TRUE
"189","P10","2-back",1,9,"Y","non-target","non-target",561,TRUE
"190","P10","2-back",1,10,"L","target","target",409,TRUE
"191","P10","2-back",1,11,"B","non-target","non-target",385,TRUE
"192","P10","2-back",1,12,"L","target","target",336,TRUE
"193","P10","2-back",1,13,"B","target","target",313,TRUE
"194","P10","2-back",1,14,"L","target","target",297,TRUE
"195","P10","2-back",1,15,"B","target","target",337,TRUE
"196","P10","2-back",1,16,"N","non-target","non-target",433,TRUE
"197","P10","2-back",1,17,"B","target","target",329,TRUE
"198","P10","2-back",1,18,"N","target","target",345,TRUE
"199","P10","2-back",1,19,"C","non-target","non-target",412,TRUE
"200","P10","2-back",1,20,"Q","non-target","non-target",361,TRUE
"201","P10","2-back",1,21,"V","non-target","non-target",497,TRUE
"202","P10","2-back",1,22,"F","non-target","non-target",376,TRUE
"203","P10","2-back",1,23,"K","non-target","non-target",368,TRUE
"204","P10","2-back",1,24,"F","target","target",504,TRUE
"205","P10","2-back",1,25,"W","non-target","non-target",376,TRUE
"206","P10","2-back",1,26,"G","non-target","non-target",464,TRUE
"207","P10","2-back",1,27,"Z","non-target","non-target",512,TRUE
"208","P10","2-back",1,28,"D","non-target","non-target",432,TRUE
"209","P10","2-back",1,29,"H","non-target","non-target",392,TRUE
"210","P10","2-back",1,30,"D","target","target",321,TRUE
"211","P10","2-back",2,1,"T","burn-in",,,
"212","P10","2-back",2,2,"M","burn-in","non-target",389,TRUE
"213","P10","2-back",2,3,"P","burn-in","non-target",357,TRUE
"214","P10","2-back",2,4,"M","target","target",358,TRUE
"215","P10","2-back",2,5,"R","non-target","non-target",733,TRUE
"216","P10","2-back",2,6,"M","target","target",309,TRUE
"217","P10","2-back",2,7,"J","non-target","non-target",375,TRUE
"218","P10","2-back",2,8,"M","target","target",301,TRUE
"219","P10","2-back",2,9,"L","non-target","non-target",405,TRUE
"220","P10","2-back",2,10,"S","non-target","non-target",357,TRUE
"221","P10","2-back",2,11,"L","target","target",325,TRUE
"222","P10","2-back",2,12,"S","target","target",349,TRUE
"223","P10","2-back",2,13,"P","non-target","non-target",397,TRUE
"224","P10","2-back",2,14,"H","non-target","non-target",396,TRUE
"225","P10","2-back",2,15,"P","target","target",428,TRUE
"226","P10","2-back",2,16,"C","non-target","non-target",388,TRUE
"227","P10","2-back",2,17,"P","target","target",412,TRUE
"228","P10","2-back",2,18,"D","non-target","non-target",324,TRUE
"229","P10","2-back",2,19,"Y","non-target","non-target",437,TRUE
"230","P10","2-back",2,20,"Z","non-target","non-target",357,TRUE
"231","P10","2-back",2,21,"M","non-target","non-target",389,TRUE
"232","P10","2-back",2,22,"Z","target","target",413,TRUE
"233","P10","2-back",2,23,"T","non-target","non-target",349,TRUE
"234","P10","2-back",2,24,"F","non-target","non-target",356,TRUE
"235","P10","2-back",2,25,"N","non-target","non-target",364,TRUE
"236","P10","2-back",2,26,"B","non-target","non-target",348,TRUE
"237","P10","2-back",2,27,"N","target","target",564,TRUE
"238","P10","2-back",2,28,"G","non-target","non-target",502,TRUE
"239","P10","2-back",2,29,"N","target","target",324,TRUE
"240","P10","2-back",2,30,"V","non-target","non-target",396,TRUE
"241","P10","2-back",3,1,"Q","burn-in","target",1014,FALSE
"242","P10","2-back",3,2,"K","burn-in","non-target",630,TRUE
"243","P10","2-back",3,3,"L","burn-in","non-target",462,TRUE
"244","P10","2-back",3,4,"J","non-target","non-target",334,TRUE
"245","P10","2-back",3,5,"L","target","target",398,TRUE
"246","P10","2-back",3,6,"R","non-target","non-target",350,TRUE
"247","P10","2-back",3,7,"L","target","target",758,TRUE
"248","P10","2-back",3,8,"W","non-target","non-target",398,TRUE
"249","P10","2-back",3,9,"S","non-target","non-target",414,TRUE
"250","P10","2-back",3,10,"W","target","target",327,TRUE
"251","P10","2-back",3,11,"S","target","target",327,TRUE
"252","P10","2-back",3,12,"W","target","target",334,TRUE
"253","P10","2-back",3,13,"S","target","target",326,TRUE
"254","P10","2-back",3,14,"G","non-target","non-target",374,TRUE
"255","P10","2-back",3,15,"F","non-target","non-target",390,TRUE
"256","P10","2-back",3,16,"C","non-target","non-target",430,TRUE
"257","P10","2-back",3,17,"J","non-target","non-target",438,TRUE
"258","P10","2-back",3,18,"C","target","target",366,TRUE
"259","P10","2-back",3,19,"D","non-target","non-target",382,TRUE
"260","P10","2-back",3,20,"W","non-target","non-target",334,TRUE
"261","P10","2-back",3,21,"D","target","target",502,TRUE
"262","P10","2-back",3,22,"H","non-target","non-target",373,TRUE
"263","P10","2-back",3,23,"D","target","target",325,TRUE
"264","P10","2-back",3,24,"Z","non-target","non-target",389,TRUE
"265","P10","2-back",3,25,"Q","non-target","non-target",390,TRUE
"266","P10","2-back",3,26,"K","non-target","non-target",414,TRUE
"267","P10","2-back",3,27,"Y","non-target","non-target",382,TRUE
"268","P10","2-back",3,28,"T","non-target","non-target",374,TRUE
"269","P10","2-back",3,29,"V","non-target","non-target",502,TRUE
"270","P10","2-back",3,30,"T","target","target",334,TRUE
"271","P10","3-back",1,1,"Z","burn-in","non-target",1268,TRUE
"272","P10","3-back",1,2,"K","burn-in","non-target",412,TRUE
"273","P10","3-back",1,3,"Y","burn-in","non-target",436,TRUE
"274","P10","3-back",1,4,"Z","target","target",412,TRUE
"275","P10","3-back",1,5,"K","target","target",332,TRUE
"276","P10","3-back",1,6,"W","non-target","non-target",548,TRUE
"277","P10","3-back",1,7,"G","non-target","non-target",667,TRUE
"278","P10","3-back",1,8,"K","target","target",363,TRUE
"279","P10","3-back",1,9,"Q","non-target","non-target",403,TRUE
"280","P10","3-back",1,10,"F","non-target","non-target",430,TRUE
"281","P10","3-back",1,11,"K","target","target",372,TRUE
"282","P10","3-back",1,12,"N","non-target","non-target",516,TRUE
"283","P10","3-back",1,13,"B","non-target","non-target",420,TRUE
