,participant,condition,block,trial,stimulus,stimulus_type,choice,rt,correct,N,n_targets,n_corrects,lure,n_recent_repetitions,n_recent_targets,n_recent_lures,n_recent_corrects,n_lures
52,P1,2-back,2,22,M,non-target,non-target,459.0,True,2,10,26,False,0.0,0.0,0.0,4.0,0
53,P1,2-back,2,23,J,non-target,non-target,715.0,True,2,10,26,False,0.0,0.0,0.0,4.0,0
54,P1,2-back,2,24,L,non-target,non-target,1051.0,True,2,10,26,False,0.0,0.0,0.0,4.0,0
55,P1,2-back,2,25,J,target,target,2587.0,True,2,10,26,False,1.0,1.0,0.0,4.0,0
56,P1,2-back,2,26,L,target,target,1459.0,True,2,10,26,False,2.0,2.0,0.0,4.0,0
57,P1,2-back,2,27,J,target,target,555.0,True,2,10,26,False,2.0,3.0,0.0,4.0,0
58,P1,2-back,2,28,L,target,target,829.0,True,2,10,26,False,2.0,4.0,0.0,4.0,0
59,P1,2-back,2,29,J,target,target,667.0,True,2,10,26,False,2.0,4.0,0.0,4.0,0
60,P1,2-back,2,30,P,non-target,non-target,1180.0,True,2,10,26,False,1.0,3.0,0.0,4.0,0
61,P1,2-back,3,1,B,burn-in,,,False,2,10,27,False,,,,,0
62,P1,2-back,3,2,Q,burn-in,,,False,2,10,27,False,,,,,0
63,P1,2-back,3,3,R,burn-in,non-target,1191.0,False,2,10,27,False,,,,,0
64,P1,2-back,3,4,T,non-target,non-target,1946.0,True,2,10,27,False,0.0,0.0,0.0,1.0,0
65,P1,2-back,3,5,R,target,target,1183.0,True,2,10,27,False,1.0,1.0,0.0,2.0,0
66,P1,2-back,3,6,W,non-target,non-target,783.0,True,2,10,27,False,1.0,1.0,0.0,3.0,0
67,P1,2-back,3,7,V,non-target,non-target,1370.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
68,P1,2-back,3,8,K,non-target,non-target,559.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
69,P1,2-back,3,9,N,non-target,non-target,815.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
70,P1,2-back,3,10,C,non-target,non-target,871.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
71,P1,2-back,3,11,N,target,target,903.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
72,P1,2-back,3,12,T,non-target,non-target,1255.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
73,P1,2-back,3,13,P,non-target,non-target,959.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
74,P1,2-back,3,14,S,non-target,non-target,1423.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
75,P1,2-back,3,15,P,target,target,919.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
76,P1,2-back,3,16,K,non-target,non-target,1375.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
77,P1,2-back,3,17,D,non-target,non-target,1255.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
78,P1,2-back,3,18,K,target,target,679.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
79,P1,2-back,3,19,F,non-target,non-target,703.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
80,P1,2-back,3,20,H,non-target,non-target,862.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
81,P1,2-back,3,21,Z,non-target,non-target,766.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
82,P1,2-back,3,22,H,target,target,694.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
83,P1,2-back,3,23,Z,target,target,838.0,True,2,10,27,False,2.0,2.0,0.0,4.0,0
84,P1,2-back,3,24,H,target,target,926.0,True,2,10,27,False,2.0,3.0,0.0,4.0,0
85,P1,2-back,3,25,Z,target,target,1062.0,True,2,10,27,False,2.0,4.0,0.0,4.0,0
86,P1,2-back,3,26,R,non-target,non-target,766.0,True,2,10,27,False,1.0,3.0,0.0,4.0,0
87,P1,2-back,3,27,Z,target,target,878.0,True,2,10,27,False,1.0,3.0,0.0,4.0,0
88,P1,2-back,3,28,W,non-target,non-target,857.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
89,P1,2-back,3,29,Z,target,target,702.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
90,P1,2-back,3,30,G,non-target,non-target,1654.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
91,P1,3-back,1,1,N,burn-in,,,False,3,10,21,False,,,,,1
92,P1,3-back,1,2,W,burn-in,,,False,3,10,21,False,,,,,1
93,P1,3-back,1,3,Y,burn-in,,,False,3,10,21,False,,,,,1
94,P1,3-back,1,4,C,non-target,non-target,1229.0,True,3,10,21,False,0.0,0.0,0.0,1.0,1
